# Norma,Coef_Ang
7.796576877843723196e+03,2.526249436940376469e+01
1.091633278899616926e+04,2.908519538410291716e+01
7.617408193545193171e+03,6.375958910303971550e+00
4.368108664108214725e+03,1.035746488601705728e+01
8.912523299357801079e+03,4.789023057538150496e+00
9.774139459106807237e+01,1.581602115558424870e+01
1.038107321544331853e+03,1.698028115586418352e+01
7.565484133571706479e+03,6.439582882424290666e+00
2.683395021457165967e+03,1.242193022161337623e+01
2.019373356250767074e+03,1.818320358367741463e+01
6.805211397773438875e+03,2.404774530074901051e+01
1.084630548744205640e+02,1.558831474345654300e+01
1.117048790530856240e+04,2.939661577038241091e+01
3.328632270964401869e+03,1.978768416463499236e+01
8.343015329549740272e+03,2.593205904509361304e+01
5.405893610551703205e+03,2.233310614052934184e+01
1.196588494761653783e+04,1.047685128556129497e+00
1.241276139613269333e+04,5.001209677840012802e-01
4.810501020283573780e+03,2.160353998454805691e+01
1.125935490156017840e+04,1.913407183180065863e+00
4.263588724642606394e+03,2.093337243856279883e+01
1.383219123822457277e+03,1.401547102552987134e+01
6.336969058072944790e+03,7.944921286190654186e+00
3.207790303812538241e+03,1.963960195293449829e+01
1.021258424688461128e+04,2.822288022115893824e+01
7.176562752412870395e+03,6.916139402942267367e+00
1.172864855146139689e+03,1.714553547911471298e+01
8.348702112046119510e+03,2.593902719459831019e+01
8.111930729243634232e+03,2.564890548409869098e+01
9.552385421572984342e+03,4.004986855724117945e+00
8.523466583865605571e+03,5.265742915144469016e+00
1.224761583940733726e+04,7.024761703048987282e-01
8.229095462825698633e+03,5.626442797570250676e+00
5.899451344479799673e+02,1.643025080918509673e+01
6.354345765502976064e+03,7.923628972399313852e+00
4.264666636504982307e+03,2.093469328294386500e+01
2.270759200437513755e+03,1.292761802812851890e+01
9.032158838984794784e+03,4.642431074726433238e+00
7.887167787912987478e+03,6.045415327314820786e+00
5.335229660252953181e+03,9.172394922576167176e+00
1.214796100304431457e+04,8.245846779193088949e-01
1.762084278486864605e+03,1.355105559876143850e+01
4.617832138996785034e+03,2.136745103225153031e+01
7.910984962841916058e+03,2.540268156902673624e+01
8.465958379925767076e+03,2.608270405159034411e+01
9.864570576951700787e+03,2.779645269476158376e+01
2.397432911404157494e+03,1.277237557063597606e+01
4.325804566096754570e+03,2.100961000854852045e+01
4.839206499914199412e+03,2.163871449057548091e+01
8.552257444634047715e+03,5.230464812823757192e+00
6.865450280432855834e+03,2.412155795023775795e+01
1.960079870733776033e+03,1.811053263980419814e+01
6.600603563578227295e+03,2.379703249557857703e+01
8.745188706133758387e+03,4.994061793000629024e+00
6.973759445658870391e+03,7.164640496378002155e+00
2.337932408912331084e+03,1.284529484996305548e+01
5.066432037204432163e+03,9.501766445075219281e+00
8.260505528482457521e+03,5.587955285395638683e+00
6.246484834292989945e+03,2.336311814319502744e+01
1.288626462797776185e+03,1.413144074470468503e+01
6.417168489796828226e+02,1.492505872724963822e+01
1.079572592312370944e+04,2.481499305064247540e+00
2.533481050128406423e+03,1.260564762947272754e+01
2.155499689069680244e+03,1.306887493770583220e+01
9.986060171031806021e+03,3.473596944601926584e+00
3.169438258243159908e+03,1.959260435394420341e+01
1.373279369075395380e+03,1.402765665233394898e+01
2.601585352382517613e+03,1.252218640597819999e+01
3.944130603695829450e+03,2.054191525623564729e+01
1.396762739598705139e+03,1.742004570110540840e+01
3.527557224704536566e+03,2.003144880185999099e+01
8.628838291967189434e+03,2.628228453934274356e+01
1.061966471321808240e+04,2.872168302522870675e+01
4.319780269698870143e+03,2.100222800767488351e+01
8.267510209470190603e+03,2.583954081721735108e+01
1.315019152157228291e+03,1.409908261633348658e+01
4.107744529253096516e+03,1.067650836995463592e+01
8.727762631465995582e+03,2.640349874933938068e+01
9.816879180313253528e+03,3.680897569027213656e+00
7.601492684831530823e+03,2.502345248115360832e+01
5.703130757422386523e+03,2.269732441885760110e+01
4.877623016867699334e+03,9.733124626468331542e+00
1.080194463318303497e+04,2.894503368245573327e+01
4.005377503520678601e+03,1.080194690837079996e+01
4.723973175538025515e+01,1.572851602048535469e+01
2.597081569671585385e+03,1.252770573167653367e+01
1.224998823347556936e+04,6.995692418146748359e-01
2.822568932753303216e+03,1.225137715917544412e+01
1.473850069915223230e+03,1.751454696508444187e+01
6.725290261129875944e+03,2.394981530597975095e+01
7.010586774796673126e+03,2.429939827580215450e+01
3.252782346827164474e+03,1.172417685830244416e+01
1.268522278503250345e+04,1.662702231619017645e-01
4.362970983264981442e+03,1.036376044696152476e+01
3.267548408852359898e+03,1.170608221690950046e+01
3.253834576793022393e+02,1.531452616168900960e+01
3.577836611331730637e+03,2.009306130382086408e+01
4.781115733786628880e+03,9.851380645740738018e+00
7.974771399127796940e+03,2.548084071882953339e+01
9.386543057412976850e+03,4.208196791195738307e+00
